id;treatment;genotype;sex;slice;order;CbRegion(vermis_hemispheres);mean;area
11;ctrl;wt;f;14;D;hemispheres;46.809;441619.160
13;eda;sca;m;1;C;hemispheres;34.073;410998.482
13;eda;sca;m;1;D;hemispheres;36.997;176872.997
13;eda;sca;m;1;E;hemispheres;35.374;389644.122
13;eda;sca;m;1;F;hemispheres;39.575;173847.192
13;eda;sca;m;2;C;hemispheres;28.825;500546.467
13;eda;sca;m;2;D;hemispheres;33.347;213960.196
13;eda;sca;m;2;E;hemispheres;31.458;408704.672
13;eda;sca;m;2;F;hemispheres;29.969;147731.489
13;eda;sca;m;3;A;vermis;33.125;224336.313
13;eda;sca;m;3;B;vermis;17.745;104368.359
13;eda;sca;m;3;C;hemispheres;27.833;291720.358
13;eda;sca;m;3;D;hemispheres;23.136;98374.093
13;eda;sca;m;3;E;hemispheres;28.24;360244.561
13;eda;sca;m;3;F;hemispheres;29.86;122352.842
13;eda;sca;m;4;A;vermis;32.712;194574.127
13;eda;sca;m;4;B;vermis;21.909;119394.502
13;eda;sca;m;4;C;hemispheres;30.013;369284.871
13;eda;sca;m;4;D;hemispheres;27.981;86616.630
13;eda;sca;m;4;E;hemispheres;34.294;326132.569
13;eda;sca;m;4;F;hemispheres;31.837;90391.297
13;eda;sca;m;5;A;vermis;28.389;260664.530
13;eda;sca;m;5;B;vermis;14.316;140187.215
13;eda;sca;m;5;C;hemispheres;30.673;296660.482
13;eda;sca;m;5;D;hemispheres;29.822;193150.616
13;eda;sca;m;5;E;hemispheres;27.534;284542.081
13;eda;sca;m;5;F;hemispheres;28.33;309561.477
13;eda;sca;m;6;A;vermis;24.06;406763.367
13;eda;sca;m;6;B;vermis;14.802;118502.277
13;eda;sca;m;6;C;hemispheres;27.531;265928.487
13;eda;sca;m;6;D;hemispheres;32.258;374295.834
13;eda;sca;m;6;E;hemispheres;33.109;240025.299
13;eda;sca;m;6;F;hemispheres;37.345;320598.752
13;eda;sca;m;7;A;vermis;21.288;180549.840
13;eda;sca;m;7;B;vermis;21.099;128979.592
13;eda;sca;m;7;C;hemispheres;25.817;443803.340
13;eda;sca;m;7;D;hemispheres;35.082;441921.066
13;eda;sca;m;7;E;hemispheres;33.316;565889.695
13;eda;sca;m;7;F;hemispheres;38.132;206431.101
13;eda;sca;m;8;A;vermis;22.975;239409.681
13;eda;sca;m;8;B;vermis;22.526;194257.042
13;eda;sca;m;8;C;hemispheres;26.014;474847.360
13;eda;sca;m;8;D;hemispheres;36.964;358817.676
13;eda;sca;m;8;E;hemispheres;30.895;588772.137
13;eda;sca;m;8;F;hemispheres;37.555;406054.984
13;eda;sca;m;9;A;vermis;26.277;104569.067
13;eda;sca;m;9;B;hemispheres;33.549;345965.593
13;eda;sca;m;9;C;hemispheres;33.418;268375.780
13;eda;sca;m;9;D;hemispheres;24.547;341372.913
13;eda;sca;m;9;E;hemispheres;30.598;464685.444
13;eda;sca;m;10;A;vermis;25.965;214651.712
13;eda;sca;m;10;C;hemispheres;29.993;199632.316
13;eda;sca;m;10;D;hemispheres;28.764;380133.243
13;eda;sca;m;10;E;hemispheres;27.769;160435.149
13;eda;sca;m;10;F;hemispheres;32.086;380141.677
13;eda;sca;m;11;A;vermis;20.596;253128.689
13;eda;sca;m;11;C;hemispheres;32.215;209215.719
13;eda;sca;m;11;D;hemispheres;26.987;380278.293
13;eda;sca;m;11;E;hemispheres;22.947;177878.226
13;eda;sca;m;11;F;hemispheres;30.224;364160.904
13;eda;sca;m;12;A;vermis;23.631;194341.373
13;eda;sca;m;12;B;vermis;23.814;125059.875
13;eda;sca;m;12;C;hemispheres;28.739;172497.892
13;eda;sca;m;12;D;hemispheres;33.789;387399.224
13;eda;sca;m;12;E;hemispheres;27.549;205731.152
13;eda;sca;m;13;A;vermis;28.967;135223.478
13;eda;sca;m;13;B;vermis;25.025;113702.142
13;eda;sca;m;13;C;hemispheres;31.378;395236.971
13;eda;sca;m;13;D;hemispheres;38.085;204719.177
13;eda;sca;m;13;E;hemispheres;27.204;204626.413
15;ctrl;sca;f;1;C;hemispheres;38.271;241234.610
15;ctrl;sca;f;1;D;hemispheres;40.8;158144.712
15;ctrl;sca;f;1;E;hemispheres;41.789;599817.844
15;ctrl;sca;f;1;F;hemispheres;30.478;361487.603
15;ctrl;sca;f;2;A;vermis;39.175;77392.478
15;ctrl;sca;f;2;B;vermis;33.771;98011.469
15;ctrl;sca;f;2;C;hemispheres;38.939;450811.267
15;ctrl;sca;f;2;D;hemispheres;35.371;471904.200
15;ctrl;sca;f;2;E;hemispheres;32.06;459763.872
15;ctrl;sca;f;2;F;hemispheres;35.176;177588.126
15;ctrl;sca;f;3;A;vermis;34.049;110296.846
15;ctrl;sca;f;3;B;vermis;30.375;226759.993
15;ctrl;sca;f;3;C;hemispheres;38.259;417195.143
15;ctrl;sca;f;3;D;hemispheres;28.427;222565.357
15;ctrl;sca;f;3;E;hemispheres;37.398;495518.637
15;ctrl;sca;f;3;F;hemispheres;33.898;168812.616
15;ctrl;sca;f;4;A;vermis;39.688;145655.254
15;ctrl;sca;f;4;B;vermis;33.514;137726.429
15;ctrl;sca;f;4;C;hemispheres;39.263;371020.408
15;ctrl;sca;f;4;D;hemispheres;31.926;409844.830
