hist_id,slice,side,part ID,structure,area,psa_ncam
6368,10,p,1,CA1 SLM,43309,12.94
6368,10,p,1,CA4 pyr,X,X
6368,10,p,1,DG PL hilus,29987,19.852
6368,10,p,1,DG-ML,153296,14.519
6368,11,l,1,CA1 SLM,38802,14.722
6368,11,l,1,CA4 pyr,X,X
6368,11,l,1,DG PL hilus,93677,17.334
6368,11,l,1,DG-ML,79852,15.49
6368,11,p,1,CA1 SLM,18566,15.706
6368,11,p,,CA4 pyr,X,X
6368,11,p,,DG PL hilus,X,X
6368,11,p,,DG-ML,X,X
6368,14 - control,l,1,CA1 SLM,49204,12.954
6368,14 - control,l,1,CA4 pyr,17780,12.033
6368,14 - control,l,1,DG PL hilus,25527,11.479
6368,14 - control,l,1,DG-ML,72655,12.774
6368,14 - control,p,1,CA1 SLM,44114,15.944
6368,14 - control,p,1,CA4 pyr,29172,16.013
6368,14 - control,p,1,DG PL hilus,21749,13.907
6368,14 - control,p,1,DG-ML,79249,16.205
6370,1,l,,CA1 SLM,X,X
6370,1,l,,CA4 pyr,X,X
6370,1,l,,DG PL hilus,X,X
6370,1,l,1,DG-ML,22952,23.358
6370,1,p,,CA1 SLM,X,X
6370,1,p,1,CA4 pyr,17600,14.117
6370,1,p,1,DG PL hilus,9865,16.338
6370,1,p,1,DG-ML,45434,18.408
6370,2,l,1,CA1 SLM,15979,15.678
6370,2,l,1,CA4 pyr,23974,13.067
6370,2,l,1,DG PL hilus,27890,14.836
6370,2,l,1,DG-ML,56193,16.93
6370,2,p,1,CA1 SLM,11113,14.811
6370,2,p,1,CA4 pyr,21403,13.187
6370,2,p,1,DG PL hilus,31975,11.984
6370,2,p,1,DG-ML,22176,14.372
6370,3,l,1,CA1 SLM,14808,15.018
6370,3,l,1,CA4 pyr,15369,11.959
6370,3,l,1,DG PL hilus,44300,11.969
6370,3,l,1,DG-ML,41284,14.366
6370,3,p,1,CA1 SLM,14387,14.196
6370,3,p,1,CA4 pyr,21590,11.96
6370,3,p,1,DG PL hilus,35087,12.787
6370,3,p,1,DG-ML,22501,14.456
6370,4,l,1,CA1 SLM,69263,9.954
6370,4,l,1,CA4 pyr,24647,9.636
6370,4,l,1,DG PL hilus,26259,14.025
6370,4,l,1,DG-ML,67065,11.436
6370,4,p,1,CA1 SLM,10990,10.635
6370,4,p,1,CA4 pyr,15050,12.281
6370,4,p,1,DG PL hilus,32181,11.874
6370,4,p,1,DG-ML,23156,11.008
6370,5,l,1,CA1 SLM,37195,11.664
6370,5,l,1,CA4 pyr,25794,10.691
