id mito,id,sex,genotype,treatment,normalisation,region,Sample,M_plus_G,D,c,P,S,Fccp,Rot,Ama,As/Tm,Azd,C_iv,b,out,out_susp
EM138,88,m,sca,ctrl,cs,hippocampus,44.8868,630.3668,2169.302,2400.7128,3332.034,6184.2736,8072.7288,2667.0416,0,15328.8796,3032.9564,12295.9232,,,
EM141,89,m,sca,ctrl,cs,hippocampus,21.17066667,417.8373333,1163.389333,1314.474,2084.234,5953.139333,9040.192,3664.202667,0,22797.46467,5251.368,17546.09667,,,
EM142,89,m,sca,ctrl,cs,hippocampus,153.2843636,394.3876364,1249.024,1478.987636,2415.261091,7008.648727,10446.72873,4244.337455,0,25413.29382,5505.428364,19907.86545,,,
EM3,1,f,wt,ctrl,cs,cerebellum,224.9943704,548.6743704,2863.636148,2817.315556,4442.807704,9866.256,12110.58844,5160.807111,0,62121.85837,15264.21689,46857.64148,,,
EM4,1,f,wt,ctrl,cs,cerebellum,377.6137143,800.4862857,3037.725143,3071.715429,4084.225714,8893.904571,12039.96343,4467.162857,0,65239.80229,16227.80171,49012.00057,,,
EM51,51,f,wt,ctrl,cs,cerebellum,22.912,432.256,1443.528,1710.296,2174.576,7556.688,8963.4,4787.848,0,24566.488,3798.632,20767.856,,,
EM52,51,f,wt,ctrl,cs,cerebellum,211.632,572.024,1417,1761.608,2107.224,6783.112,8250.944,4118.168,0,28103.432,4609.936,23493.496,,,
EM79,61,f,wt,ctrl,cs,cerebellum,110.6955,609.6285,4218.618,4415.376,6482.61,11700.38175,14883.54675,5695.425,0,36130.68225,5848.05525,30282.627,,,
EM80,61,f,wt,ctrl,cs,cerebellum,118.5054545,772.7149091,3532.528909,3746.803091,5131.675636,9027.621273,11494.32436,4408.959273,0,26195.28764,4069.596,22125.69164,,,
EM127,83,f,wt,ctrl,cs,cerebellum,20.92330435,536.049913,3253.80887,3626.72087,6037.557391,11340.972,14150.94783,5931.574957,0,29616.96835,4098.16487,25518.80348,,,
