id,treatment,genotype,sex,day,session,rot_latency,pre_post
82,eda,sca,m,1,4,118.3,pre
82,eda,sca,m,2,1,140.4,pre
82,eda,sca,m,2,2,134,pre
82,eda,sca,m,2,3,152.7,pre
82,eda,sca,m,2,4,134.5,pre
82,eda,sca,m,3,1,131.1,pre
82,eda,sca,m,3,2,163.1,pre
82,eda,sca,m,3,3,162,pre
82,eda,sca,m,3,4,140,pre
84,ctrl,sca,f,1,1,89.6,pre
84,ctrl,sca,f,1,2,100,pre
84,ctrl,sca,f,1,3,78.7,pre
84,ctrl,sca,f,1,4,109.7,pre
84,ctrl,sca,f,2,1,106.7,pre
84,ctrl,sca,f,2,2,140.1,pre
84,ctrl,sca,f,2,3,120.6,pre
84,ctrl,sca,f,2,4,135.1,pre
84,ctrl,sca,f,3,1,99.8,pre
84,ctrl,sca,f,3,2,133.1,pre
84,ctrl,sca,f,3,3,193,pre
84,ctrl,sca,f,3,4,164.1,pre
85,eda,sca,f,1,1,67.4,pre
85,eda,sca,f,1,2,37.3,pre
85,eda,sca,f,1,3,72.8,pre
85,eda,sca,f,1,4,96.1,pre
85,eda,sca,f,2,1,89.6,pre
85,eda,sca,f,2,2,99.4,pre
85,eda,sca,f,2,3,108,pre
85,eda,sca,f,2,4,93.7,pre
85,eda,sca,f,3,1,69.2,pre
85,eda,sca,f,3,2,26.6,pre
85,eda,sca,f,3,3,54.1,pre
85,eda,sca,f,3,4,90.9,pre
93,ctrl,sca,m,1,1,87.6,pre
93,ctrl,sca,m,1,2,122.9,pre
93,ctrl,sca,m,1,3,152.4,pre
93,ctrl,sca,m,1,4,142.9,pre
93,ctrl,sca,m,2,1,135.3,pre
93,ctrl,sca,m,2,2,227.4,pre
93,ctrl,sca,m,2,3,138.9,pre
93,ctrl,sca,m,2,4,82.5,pre
93,ctrl,sca,m,3,1,145.9,pre
93,ctrl,sca,m,3,2,144,pre
93,ctrl,sca,m,3,3,109.7,pre
93,ctrl,sca,m,3,4,152.7,pre
94,ctrl,wt,m,1,1,145,pre
94,ctrl,wt,m,1,2,64.5,pre
94,ctrl,wt,m,1,3,136.8,pre
94,ctrl,wt,m,1,4,175.4,pre
94,ctrl,wt,m,2,1,196.4,pre
94,ctrl,wt,m,2,2,172.6,pre
94,ctrl,wt,m,2,3,239.6,pre
94,ctrl,wt,m,2,4,185.6,pre
94,ctrl,wt,m,3,1,195.9,pre
94,ctrl,wt,m,3,2,184.3,pre
94,ctrl,wt,m,3,3,150,pre
94,ctrl,wt,m,3,4,169.5,pre
98,eda,sca,f,1,1,97.2,pre
98,eda,sca,f,1,2,122.7,pre
98,eda,sca,f,1,3,134.3,pre
98,eda,sca,f,1,4,60.4,pre
98,eda,sca,f,2,1,157.7,pre
98,eda,sca,f,2,2,157.6,pre
98,eda,sca,f,2,3,142.8,pre
98,eda,sca,f,2,4,166.1,pre
98,eda,sca,f,3,1,167.2,pre
98,eda,sca,f,3,2,173.5,pre
98,eda,sca,f,3,3,120.5,pre
98,eda,sca,f,3,4,132.7,pre
99,eda,wt,f,1,1,112.7,pre
99,eda,wt,f,1,2,91,pre
99,eda,wt,f,1,3,89,pre
99,eda,wt,f,1,4,152.4,pre
99,eda,wt,f,2,1,121,pre
99,eda,wt,f,2,2,156.4,pre
99,eda,wt,f,2,3,93.2,pre
99,eda,wt,f,2,4,125.6,pre
99,eda,wt,f,3,1,53.7,pre
99,eda,wt,f,3,2,98.5,pre
99,eda,wt,f,3,3,90.6,pre
99,eda,wt,f,3,4,85.8,pre
100,eda,sca,m,1,1,119,pre
100,eda,sca,m,1,2,101.4,pre
100,eda,sca,m,1,3,70.4,pre
100,eda,sca,m,1,4,55.3,pre
100,eda,sca,m,2,1,122.5,pre
100,eda,sca,m,2,2,81,pre
100,eda,sca,m,2,3,95.1,pre
100,eda,sca,m,2,4,154.1,pre
100,eda,sca,m,3,1,87.7,pre
100,eda,sca,m,3,2,132.1,pre
100,eda,sca,m,3,3,170,pre
100,eda,sca,m,3,4,117.5,pre
101,ctrl,sca,m,1,1,139,pre
101,ctrl,sca,m,1,2,21.8,pre
101,ctrl,sca,m,1,3,141.4,pre
101,ctrl,sca,m,1,4,132.3,pre
101,ctrl,sca,m,2,1,130.6,pre
101,ctrl,sca,m,2,2,205,pre
101,ctrl,sca,m,2,3,144.1,pre
101,ctrl,sca,m,2,4,146,pre
101,ctrl,sca,m,3,1,113.2,pre
101,ctrl,sca,m,3,2,168,pre
101,ctrl,sca,m,3,3,213.3,pre
101,ctrl,sca,m,3,4,195.8,pre
102,ctrl,wt,m,1,1,117.2,pre
102,ctrl,wt,m,1,2,117.8,pre
102,ctrl,wt,m,1,3,72.5,pre
102,ctrl,wt,m,1,4,141,pre
102,ctrl,wt,m,2,1,136.1,pre
