id;genotype;age_cohort;born;experiment_start;age_in_start_(weeks);first_weight_(mg);pre_death_weight_(mg);epm_falls;epm_distance;epm_close1_dur;epm_close1_fre;epm_close1_to1;epm_close2_dur;epm_close2_fre;epm_close2_to1;epm_open1_dur;epm_open1_fre;epm_open1_to1;epm_open2_dur;epm_open2_fre;epm_open2_to1;of.distance;of.corner;of.center.dist;of.on.edges_narrow;of.distance_on_edges_narrow;olm_testing1;olm_stable1;olm_testing2;olm_stable2;olm_testing3;olm_stable3;olm_testing4;olm_stable4;startle_max;startle_lat_max;pre_max;pre_lat_max;digi_12_hind_Stance_Stride;digi_12_hind_Stride_Length;digi_12_hind_abs(Paw_Angle);digi_12_hind_Stance_Width;digi_12_hind_Stride_length_CV;digi_12_hind_Stance_Width_CV;digi_12_fore_Stance_Stride;digi_12_fore_Stride_Length;digi_12_fore_Stride_Length_CV;digi_18_hind_Stance_Stride;digi_18_hind_Stride_Length;digi_18_hind_abs(Paw_Angle);digi_18_hind_Stance_Width;digi_18_hind_Stride_length_CV;digi_18_hind_Stance_Width_CV;digi_18_fore_Stance_Stride;digi_18_fore_Stride_Length;digi_18_fore_Stride_Length_CV;rotarod1_1;rotarod1_2;rotarod1_3;rotarod1_4;rotarod1_5;rotarod2_1;rotarod2_2;rotarod2_3;rotarod2_4;rotarod2_5;rotarod3_1;rotarod3_2;rotarod3_3;rotarod3_4;rotarod3_5;rotarod4_1;rotarod4_2;rotarod4_3;rotarod4_4;rotarod4_5;rotarod5_1;rotarod5_2;rotarod5_3;rotarod5_4;rotarod5_5;mwm_probe_trial;mwm_lat_2_7;mwm_lat_8_9;mwm_non_mowing_1_7;t_maze1;t_maze2;t_maze3;t_maze4;t_maze5;t_maze6;t_maze7;t_maze8;t_maze9;t_maze10;t_maze11;fst5_freqency_immobile;fst5_first;fst_immobility1;fst_immobility2;fst_immobility3;fst_immobility4;fst_immobility5;fst_immobility6;brain_weight;cb_mol;cb_granular;DG_ML_volume;ca_srlm;hypoglossal_nuclues_volume(mm3);parietal_cortex_thickness(mm);ca_oriens_pyramidale(mm3);dg_hilus(mm3);dg_granular(mm3)
110;tg+;sca1_w26;18.04.2017;23.10.2017;26.9;22.8;21.7;0;1417.34;74.16;6;0.72;52.72;4;39.36;20.64;2;127.12;75.6;2;59.44;1500.269066;0.916463008;30.94882827;0.977116196;0.872206728;48;42;17;11;1;33;11;4;12.46;132.27;11.72;109.29;88.9;4;15.25;2.3;12.125;5.7;72.9;4;13.99;76.65;4.6;15.35;2;26.26;17.68;64.4;4.35;35.155;105;91;133;73;105;89;134;98;70;75;64;119;124;115;57;71;94;74;91;83;31;67;142;32;72;0.001992032;53.9;60.12;65.59381238;60;70;60;50;10;40;40;90;50;50;60;15;6.4;24.96;29.76;40;34.72;45.84;43.36;355;;;;;;;;;
124;w;sca1_w26;30.04.2017;06.11.2017;27.1;30.2;28.9;0;1665.25;70.72;7;46.8;85.6;7;37.2;11.44;1;91.44;53.44;4;0.96;6144.506607;0.43723617;24.94264934;0.684736725;0.655472336;25;23;24;24;37;38;45;31;24.2;83.08;9.15;147;81.7;3.875;15.825;2.6;11.8525;8.1;66.725;3.8;31.95;74.575;5.425;13.375;2.3;9.3275;4.56;66.975;5.375;15.685;135;45;142;130;138;231;212;171;195;254;222;262;230;247;231;200;227;229;199;168;158;150;148;182;169;0.185110664;51.425;32.53499988;45.24516165;60;20;10;20;10;10;20;40;60;30;10;12;150.24;0;0;9.28;18.64;15.44;17.28;380;2.601890909;2.189090909;2.760589474;5.153515789;0.0158;0.546482335;4.187621053;0.534751731;0.549681347
125;w;sca1_w26;30.04.2017;06.11.2017;27.1;30.3;29.8;0;2164.84;97.04;14;11.04;121.76;13;0;0;0;0;0;0;0;5018.527597;0.408563782;22.99807763;0.577386262;0.516499954;51;28;42;20;28;39;41;29;27.13;79.35;14.97;93;79.71666667;4.766666667;18.01666667;2.833333333;9.958333333;7.293333333;67.56666667;4.7;20.71;74.4;6.316666667;16.83333333;2.566666667;9.671666667;5.716666667;65.1;6.383333333;17.15166667;141;227;106;258;70;335;239;323;168;316;271;384;253;375;328;407;382;391;319;379;413;394;392;346;307;0.107569721;20.885;14.27999975;10.81422437;80;80;70;20;10;0;0;80;40;20;0;0;360;0;0;0;0;0;0;373;2.897163636;2.468945455;3.264;5.4528;0.016133333;0.531964809;4.9536;0.60077952;0.59659776
126;w;sca1_w26;30.04.2017;06.11.2017;27.1;31;29;0;2372.16;38.24;8;30.8;104.48;17;0;27.84;3;13.92;23.6;4;18.8;6709.500203;0.472;25.32000791;0.733555556;0.667738722;40;31;17;35;39;29;16;14;16.6;86.56;6.1;169.54;85.7;5.05;22;2.7;11.09;12.61;65.9;5.1;21.995;71.75;6.225;23.15;2.75;20.765;9.64;61.2;6.55;31.495;207;215;221;254;211;206;296;267;192;232;241;295;220;279;266;243;293;267;338;257;230;296;223;303;191;0.284860558;55.825;28.27499975;50.74012858;80;60;60;30;50;10;20;20;20;30;0;11;183.12;0;0;1.36;26.16;14.4;16;387;;;;;;;;;
127;w;sca1_w26;30.04.2017;06.11.2017;27.1;32.6;31.6;0;1306.17;63.6;6;38.48;64.96;4;50.16;10.88;3;114.8;17.84;3;10.96;7008.165479;0.5580982;26.17372258;0.795156632;0.670801185;42;47;29;29;48;25;9;22;14.07;87.94;5.82;172.38;82.4;4.8;21.275;2.5;28.8625;12.225;67.75;4.625;29.3225;84.825;6.25;24.9;2.5;11.475;4.575;61.25;5.8;36.83;56;118;115;143;155;162;197;128;108;216;143;110;108;136;177;209;150;158;161;124;101;201;141;127;227;0.149700599;45.41;32.265;55.37824551;10;10;20;30;10;0;0;70;40;20;10;11;7.12;4.48;5.6;9.28;25.76;25.36;32.8;381;;;;;;;;;
143;w;sca1_w26;02.05.2017;06.11.2017;26.9;29.1;28.9;0;1794.13;75.92;11;32.08;126.64;11;8.96;0;0;0;0;0;0;5786.051497;0.492520652;25.18672491;0.731413262;0.661646654;30;26;19;35;22;15;24;12;17.5;90.65;6.49;141.29;80.4;4.7;19.3;2.566666667;8.521666667;16.63666667;65.56666667;4.716666667;37.295;77.9375;5.6875;16.175;2.375;8.80125;10.7775;63.925;5.4375;18.37125;276;70;119;138;261;304;284;314;287;316;313;318;338;375;311;325;290;313;274;318;315;212;369;257;292;0.131474104;44.15;18.96;53.22150076;30;20;0;10;0;0;0;90;70;30;0;14;0.08;7.2;12.32;30.24;43.6;42.8;37.6;378;;;;;;;;;
144;tg+;sca1_w26;02.05.2017;06.11.2017;26.9;23.3;22;0;1692.14;70.32;6;6;90.48;4;73.84;55.36;4;32.96;53.6;7;11.92;1598.026887;0.452566096;25.25506553;0.748055988;0.786875448;15;25;0;0;19;7;1;1;26.13;116.98;14.64;138.83;89.1;4.15;13.45;2.5;15.525;9.32;67.3;3.9;41.035;84.825;5.025;14.125;2.3;10.645;7.135;58.4;4.6;37.6;143;143;149;184;153;134;140;157;86;158;177;137;127;148;136;143;140;168;99;197;182;163;223;190;197;0.141434263;46.745;53.33999975;25.58373656;50;40;10;20;20;20;50;40;90;60;60;2;5.44;5.2;0.16;1.68;0;0;0;353;2.091466667;2.453333333;2.351288889;4.273422222;0.014666667;0.45734767;4.0256;0.58188416;0.52132608
160;w;sca1_w26;01.05.2017;06.11.2017;27;27.8;27.3;0;1725.39;71.76;8;29.2;82.24;11;15.76;0;0;0;0;0;0;4447.398673;0.598039216;27.56069313;0.858734403;0.825631785;9;13;21;17;10;14;12;10;11.38;107.88;4.18;160.21;79.7;4.45;27.525;2.55;8.48;4.94;61.525;4.45;22.4;76.425;5.7;25.9375;2.65;7.65625;4.9725;65.9125;5.5625;19.615;159;101;197;172;175;193;237;265;162;188;140;187;172;230;252;268;234;235;196;223;220;160;281;219;148;0.135458167;45.98;59.11499963;47.9575431;50;0;0;0;0;0;0;90;50;30;20;15;157.44;0;0;12.08;18.4;12.32;28.24;405;;;2.88904;4.93416;;0.521055718;4.21344;0.56349216;0.614474784
162;w;sca1_w26;01.05.2017;06.11.2017;27;28.2;27.9;0;2651.93;62.4;12;0;75.52;14;27.68;20.16;3;17.28;37.84;6;46.32;6630.191106;0.515885359;26.87489002;0.864696734;0.796914747;42;42;35;30;25;18;31;31;29.31;82.71;12.38;93.17;84.9;4.825;20.025;2.95;8.69;5.195;59.85;4.175;26.1525;84.2;5.633333333;18.4;2.6;10.60166667;4.143333333;63.01666667;5.516666667;31.22666667;266;254;323;134;237;130;273;264;28.4;324;221;318;123;307;322;375;352;365;362;341;316;374;383;300;423;0.221327968;25.24;15.73499975;3.506738993;80;40;0;10;0;10;20;90;50;10;0;2;326.56;0;0;0;0;1.2;12.08;403;;;;;;;;;
163;w;sca1_w26;01.05.2017;06.11.2017;27;32.2;29.7;0;2264.86;59.84;11;0.32;102.56;12;30.16;7.12;4;66.64;25.76;2;96.24;4882.923251;0.585647634;25.16445544;0.804487892;0.685671601;14;11;7;6;34;25;30;24;21.3;99.5;11.95;106.75;79.6;4.55;20.55;3;14.775;8.98;64.7;4.7;33.295;77.96666667;6.283333333;22.28333333;2.833333333;7.231666667;4.74;64.73333333;6.216666667;23.51333333;144;208;181;221;186;185;166;185;211;190;137;186;138;119;138;134;154;203;164;186;112;139;180;153;203;0.310756972;37.935;17.28;31.51331106;60;20;10;0;0;10;20;60;40;10;0;1;10.4;1.52;0;0;0;0;0;411;;;;;;;;;
