id;treatment;genotype;sex;slice;order;CbRegion(vermis_hemispheres);mean;area
15;ctrl;sca;f;10;E;hemispheres;13.312;77714.623
15;ctrl;sca;f;10;F;hemispheres;21.310;94105.245
15;ctrl;sca;f;11;A;vermis;21.994;51071.007
15;ctrl;sca;f;11;B;vermis;13.280;57997.976
15;ctrl;sca;f;11;C;hemispheres;18.193;59387.755
15;ctrl;sca;f;11;D;hemispheres;23.805;110782.594
15;ctrl;sca;f;11;E;hemispheres;13.875;43916.343
15;ctrl;sca;f;11;F;hemispheres;14.461;84069.826
15;ctrl;sca;f;12;A;vermis;14.633;40111.317
15;ctrl;sca;f;12;B;vermis;16.639;73039.298
15;ctrl;sca;f;12;C;hemispheres;17.948;88578.175
15;ctrl;sca;f;12;D;hemispheres;22.173;97191.769
15;ctrl;sca;f;12;E;hemispheres;14.511;86397.369
15;ctrl;sca;f;12;F;hemispheres;13.825;69967.954
15;ctrl;sca;f;13;A;vermis;19.465;28284.702
15;ctrl;sca;f;13;B;vermis;16.695;46844.325
15;ctrl;sca;f;13;C;hemispheres;16.790;30755.608
15;ctrl;sca;f;13;D;hemispheres;16.698;36716.141
15;ctrl;sca;f;13;E;hemispheres;19.042;82169.000
15;ctrl;sca;f;13;F;hemispheres;23.342;118770.450
15;ctrl;sca;f;14;A;vermis;17.686;31764.210
15;ctrl;sca;f;14;B;vermis;19.247;61001.855
15;ctrl;sca;f;14;C;hemispheres;19.772;48272.896
15;ctrl;sca;f;14;D;hemispheres;21.038;60050.599
18;ctrl;sca;m;2;C;hemispheres;13.401;41121.606
18;ctrl;sca;m;2;D;hemispheres;13.104;75842.469
18;ctrl;sca;m;2;E;hemispheres;12.479;50318.772
18;ctrl;sca;m;2;F;hemispheres;12.377;92040.816
18;ctrl;sca;m;3;A;vermis;14.071;46453.027
18;ctrl;sca;m;3;B;vermis;9.792;19770.619
18;ctrl;sca;m;3;C;hemispheres;11.911;46733.007
18;ctrl;sca;m;3;D;hemispheres;11.865;80602.125
18;ctrl;sca;m;3;E;hemispheres;12.148;85520.324
18;ctrl;sca;m;3;F;hemispheres;11.380;101109.799
18;ctrl;sca;m;4;C;hemispheres;12.850;68509.023
18;ctrl;sca;m;4;D;hemispheres;10.861;64629.786
18;ctrl;sca;m;4;E;hemispheres;12.008;36614.943
18;ctrl;sca;m;4;F;hemispheres;12.175;44692.191
18;ctrl;sca;m;5;A;vermis;7.978;196248.946
18;ctrl;sca;m;5;B;vermis;9.974;71074.380
18;ctrl;sca;m;5;C;hemispheres;11.606;77832.687
18;ctrl;sca;m;5;D;hemispheres;9.255;95651.881
18;ctrl;sca;m;5;E;hemispheres;13.014;86201.720
18;ctrl;sca;m;5;F;hemispheres;11.298;90963.063
18;ctrl;sca;m;6;A;vermis;11.528;89138.135
18;ctrl;sca;m;6;B;vermis;10.494;83504.807
18;ctrl;sca;m;6;C;hemispheres;16.631;81978.411
18;ctrl;sca;m;6;D;hemispheres;13.047;62121.774
18;ctrl;sca;m;6;E;hemispheres;13.391;89340.530
18;ctrl;sca;m;6;F;hemispheres;12.572;94516.782
18;ctrl;sca;m;7;A;vermis;11.570;105125.654
18;ctrl;sca;m;7;B;vermis;
18;ctrl;sca;m;7;C;hemispheres;15.094;47758.475
18;ctrl;sca;m;7;D;hemispheres;12.253;149871.816
18;ctrl;sca;m;7;E;hemispheres;11.058;76797.099
